# OMIM genemap2 (reconstructed from HPO annotations) — 2026-03-26
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
						EYS		EYS				Gene-disease association, 602772 (3), Autosomal recessive	
						EZH2		EZH2				Gene-disease association, 277590 (3), Autosomal dominant	
						F10		F10				Gene-disease association, 227600 (3), Autosomal recessive	
						F11		F11				Gene-disease association, 612416 (3), Autosomal recessive	
						F12		F12				Gene-disease association, 234000 (3), Autosomal recessive; Gene-disease association, 610618 (3), Autosomal dominant	
						F13A1		F13A1				Gene-disease association, 188050 (3), Autosomal dominant; Gene-disease association, 613225 (3), Autosomal recessive	
						F13B		F13B				Gene-disease association, 613235 (3), Autosomal recessive	
						F2		F2				Gene-disease association, 188050 (3), Autosomal dominant; Gene-disease association, 601367 (3), Unknown; Gene-disease association, 613679 (3), Autosomal recessive; Gene-disease association, 614390 (3), Autosomal dominant	
						F5		F5				Gene-disease association, 188055 (3), Autosomal dominant; Gene-disease association, 227400 (3), Autosomal recessive; Gene-disease association, 600880 (3), Autosomal recessive; Gene-disease association, 601367 (3), Unknown; Gene-disease association, 614389 (3), Autosomal dominant	
						F7		F7				Gene-disease association, 227500 (3), Autosomal recessive	
						F8		F8				Gene-disease association, 301071 (3), Unknown; Gene-disease association, 306700 (3), Unknown	
						F9		F9				Gene-disease association, 300807 (3), Unknown; Gene-disease association, 306900 (3), Unknown	
						FA2H		FA2H				Gene-disease association, 612319 (3), Autosomal recessive	
						FAAP100		FAAP100				Gene-disease association, 621258 (3), Autosomal recessive	
						FADD		FADD				Gene-disease association, 613759 (3), Autosomal recessive	
						FAH		FAH				Gene-disease association, 276700 (3), Autosomal recessive	
						FAM111A		FAM111A				Gene-disease association, 127000 (3), Autosomal dominant; Gene-disease association, 602361 (3), Autosomal dominant	
						FAM111B		FAM111B				Gene-disease association, 615704 (3), Autosomal dominant	
						FAM149B1		FAM149B1				Gene-disease association, 618763 (3), Autosomal recessive	
						FAM161A		FAM161A				Gene-disease association, 606068 (3), Autosomal recessive	
						FAM177A1		FAM177A1				Gene-disease association, 621152 (3), Autosomal recessive	
						FAM20A		FAM20A				Gene-disease association, 204690 (3), Autosomal recessive	
						FAM20C		FAM20C				Gene-disease association, 259775 (3), Autosomal recessive	
						FAM50A		FAM50A				Gene-disease association, 300261 (3), Unknown	
						FAN1		FAN1				Gene-disease association, 614817 (3), Autosomal recessive	
						FANCA		FANCA				Gene-disease association, 227650 (3), Autosomal recessive	
						FANCB		FANCB				Gene-disease association, 300514 (3), Unknown; Gene-disease association, 314390 (3), Unknown	
						FANCC		FANCC				Gene-disease association, 227645 (3), Autosomal recessive	
						FANCD2		FANCD2				Gene-disease association, 227646 (3), Autosomal recessive	
						FANCE		FANCE				Gene-disease association, 600901 (3), Autosomal recessive	
						FANCF		FANCF				Gene-disease association, 603467 (3), Autosomal recessive	
						FANCG		FANCG				Gene-disease association, 614082 (3), Unknown	
						FANCI		FANCI				Gene-disease association, 609053 (3), Autosomal recessive	
						FANCL		FANCL				Gene-disease association, 614083 (3), Autosomal recessive	
						FANCM		FANCM				Gene-disease association, 618086 (3), Autosomal recessive; Gene-disease association, 618096 (3), Autosomal recessive	
						FAR1		FAR1				Gene-disease association, 616154 (3), Autosomal recessive; Gene-disease association, 619338 (3), Autosomal dominant	
						FARS2		FARS2				Gene-disease association, 614946 (3), Autosomal recessive; Gene-disease association, 617046 (3), Autosomal recessive	
						FARSA		FARSA				Gene-disease association, 619013 (3), Autosomal recessive	
						FARSB		FARSB				Gene-disease association, 613658 (3), Autosomal recessive	
						FAS		FAS				Gene-disease association, 601859 (3), Autosomal dominant	
						FASLG		FASLG				Gene-disease association, 211980 (3), Autosomal dominant; Gene-disease association, 601859 (3), Autosomal dominant	
						FASTKD2		FASTKD2				Gene-disease association, 220110 (3), Autosomal recessive; Gene-disease association, 618855 (3), Autosomal recessive	
						FASTKD5		FASTKD5				Gene-disease association, 621431 (3), Autosomal recessive	
						FAT2		FAT2				Gene-disease association, 617769 (3), Autosomal dominant	
						FAT4		FAT4				Gene-disease association, 615546 (3), Autosomal recessive; Gene-disease association, 616006 (3), Autosomal recessive	
						FBLN5		FBLN5				Gene-disease association, 219100 (3), Autosomal recessive; Gene-disease association, 608895 (3), Autosomal dominant; Gene-disease association, 614434 (3), Autosomal dominant; Gene-disease association, 619764 (3), Autosomal dominant	
						FBN1		FBN1				Gene-disease association, 102370 (3), Autosomal dominant; Gene-disease association, 129600 (3), Autosomal dominant; Gene-disease association, 154700 (3), Autosomal dominant; Gene-disease association, 184900 (3), Autosomal dominant; Gene-disease association, 604308 (3), Autosomal dominant; Gene-disease association, 608328 (3), Autosomal dominant; Gene-disease association, 614185 (3), Autosomal dominant; Gene-disease association, 616914 (3), Autosomal dominant	
						FBN2		FBN2				Gene-disease association, 121050 (3), Autosomal dominant; Gene-disease association, 616118 (3), Autosomal dominant	
						FBP1		FBP1				Gene-disease association, 229700 (3), Autosomal recessive	
						FBP2		FBP2				Gene-disease association, 619864 (3), Autosomal dominant	
						FBXL3		FBXL3				Gene-disease association, 606220 (3), Autosomal recessive	
						FBXL4		FBXL4				Gene-disease association, 615471 (3), Autosomal recessive	
						FBXO11		FBXO11				Gene-disease association, 618089 (3), Autosomal dominant	
						FBXO22		FBXO22				Gene-disease association, 621184 (3), Autosomal recessive	
						FBXO28		FBXO28				Gene-disease association, 619777 (3), Autosomal dominant	
						FBXO31		FBXO31				Gene-disease association, 615979 (3), Autosomal recessive	
						FBXO38		FBXO38				Gene-disease association, 615575 (3), Autosomal dominant	
						FBXO43		FBXO43				Gene-disease association, 619696 (3), Autosomal recessive; Gene-disease association, 619697 (3), Autosomal recessive	
						FBXO7		FBXO7				Gene-disease association, 260300 (3), Autosomal recessive	
						FBXW11		FBXW11				Gene-disease association, 618914 (3), Autosomal dominant	
						FBXW7		FBXW7				Gene-disease association, 620012 (3), Autosomal dominant	
						FCGR2A		FCGR2A				Gene-disease association, 152700 (3), Autosomal dominant; Gene-disease association, 219700 (3), Autosomal recessive	
						FCGR2B		FCGR2B				Gene-disease association, 152700 (3), Autosomal dominant	
						FCGR3A		FCGR3A				Gene-disease association, 615707 (3), Autosomal recessive	
						FCHO1		FCHO1				Gene-disease association, 619164 (3), Autosomal recessive	
						FCN3		FCN3				Gene-disease association, 613860 (3), Autosomal recessive	
						FCSK		FCSK				Gene-disease association, 618324 (3), Autosomal recessive	
						FDFT1		FDFT1				Gene-disease association, 618156 (3), Autosomal recessive	
						FDPS		FDPS				Gene-disease association, 616631 (3), Autosomal dominant	
						FDX2		FDX2				Gene-disease association, 251900 (3), Autosomal recessive	
						FDXR		FDXR				Gene-disease association, 617717 (3), Autosomal recessive; Gene-disease association, 620887 (3), Autosomal recessive	
						FECH		FECH				Gene-disease association, 177000 (3), Autosomal recessive	
						FEM1B		FEM1B				Gene-disease association, 621263 (3), Autosomal dominant	
						FERMT1		FERMT1				Gene-disease association, 173650 (3), Autosomal recessive	
						FERMT3		FERMT3				Gene-disease association, 612840 (3), Autosomal recessive	
						FERRY3		FERRY3				Gene-disease association, 618221 (3), Autosomal recessive	
						FEZF1		FEZF1				Gene-disease association, 146110 (3), Autosomal recessive; Gene-disease association, 616030 (3), Autosomal recessive	
						FGA		FGA				Gene-disease association, 105200 (3), Autosomal dominant; Gene-disease association, 202400 (3), Autosomal recessive; Gene-disease association, 616004 (3), Autosomal dominant	
						FGB		FGB				Gene-disease association, 202400 (3), Autosomal recessive; Gene-disease association, 616004 (3), Autosomal dominant	
						FGD1		FGD1				Gene-disease association, 305400 (3), Unknown	
						FGD4		FGD4				Gene-disease association, 609311 (3), Autosomal recessive	
						FGF10		FGF10				Gene-disease association, 180920 (3), Autosomal dominant; Gene-disease association, 620193 (3), Autosomal dominant	
						FGF12		FGF12				Gene-disease association, 617166 (3), Autosomal dominant	
						FGF13		FGF13				Gene-disease association, 301058 (3), Unknown; Gene-disease association, 301095 (3), Unknown	
						FGF14		FGF14				Gene-disease association, 193003 (3), Autosomal dominant; Gene-disease association, 620174 (3), Autosomal dominant	
						FGF16		FGF16				Gene-disease association, 309630 (3), Unknown	
						FGF17		FGF17				Gene-disease association, 146110 (3), Autosomal recessive; Gene-disease association, 615270 (3), Autosomal dominant	
						FGF20		FGF20				Gene-disease association, 615721 (3), Autosomal recessive	
						FGF23		FGF23				Gene-disease association, 193100 (3), Autosomal dominant; Gene-disease association, 617993 (3), Autosomal recessive	
						FGF3		FGF3				Gene-disease association, 610706 (3), Autosomal recessive	
						FGF4		FGF4				Gene-disease association, 621260 (3), Autosomal recessive	
						FGF5		FGF5				Gene-disease association, 190330 (3), Autosomal recessive	
						FGF8		FGF8				Gene-disease association, 146110 (3), Autosomal recessive; Gene-disease association, 612702 (3), Autosomal dominant	
						FGF9		FGF9				Gene-disease association, 612961 (3), Autosomal dominant	
						FGFR1		FGFR1				Gene-disease association, 101600 (3), Autosomal dominant; Gene-disease association, 123150 (3), Autosomal dominant; Gene-disease association, 146110 (3), Autosomal recessive; Gene-disease association, 147950 (3), Autosomal dominant; Gene-disease association, 166250 (3), Autosomal dominant; Gene-disease association, 190440 (3), Autosomal dominant; Gene-disease association, 613001 (3), Unknown; Gene-disease association, 615465 (3), Autosomal dominant	
						FGFR2		FGFR2				Gene-disease association, 101200 (3), Autosomal dominant; Gene-disease association, 101400 (3), Autosomal dominant; Gene-disease association, 101600 (3), Autosomal dominant; Gene-disease association, 123150 (3), Autosomal dominant; Gene-disease association, 123500 (3), Autosomal dominant; Gene-disease association, 123790 (3), Autosomal dominant; Gene-disease association, 149730 (3), Autosomal dominant; Gene-disease association, 207410 (3), Autosomal dominant; Gene-disease association, 609579 (3), Unknown; Gene-disease association, 613659 (3), Unknown; Gene-disease association, 614592 (3), Autosomal dominant	
						FGFR3		FGFR3				Gene-disease association, 100800 (3), Autosomal dominant; Gene-disease association, 109800 (3), Autosomal dominant; Gene-disease association, 114500 (3), Autosomal dominant; Gene-disease association, 146000 (3), Autosomal dominant; Gene-disease association, 162900 (3), Unknown; Gene-disease association, 187600 (3), Autosomal dominant; Gene-disease association, 187601 (3), Autosomal dominant; Gene-disease association, 273300 (3), Unknown; Gene-disease association, 602849 (3), Autosomal dominant; Gene-disease association, 603956 (3), Unknown; Gene-disease association, 610474 (3), Autosomal recessive; Gene-disease association, 612247 (3), Autosomal dominant; Gene-disease association, 616482 (3), Autosomal dominant; Gene-disease association, 620192 (3), Autosomal dominant	
						FGFRL1		FGFRL1				Gene-disease association, 194190 (3), Autosomal dominant	
						FGG		FGG				Gene-disease association, 202400 (3), Autosomal recessive; Gene-disease association, 616004 (3), Autosomal dominant	
						FH		FH				Gene-disease association, 150800 (3), Autosomal dominant; Gene-disease association, 606812 (3), Autosomal recessive	
						FHL1		FHL1				Gene-disease association, 300280 (3), Unknown; Gene-disease association, 300695 (3), Unknown; Gene-disease association, 300696 (3), Unknown; Gene-disease association, 300717 (3), Unknown; Gene-disease association, 300718 (3), Unknown	
						FHOD3		FHOD3				Gene-disease association, 619402 (3), Autosomal dominant	
						FIBP		FIBP				Gene-disease association, 617107 (3), Autosomal recessive	
						FIG4		FIG4				Gene-disease association, 216340 (3), Autosomal recessive; Gene-disease association, 611228 (3), Autosomal recessive; Gene-disease association, 612577 (3), Autosomal dominant; Gene-disease association, 612691 (3), Autosomal recessive	
						FIGLA		FIGLA				Gene-disease association, 612310 (3), Unknown	
						FILIP1		FILIP1				Gene-disease association, 620775 (3), Autosomal recessive	
						FITM2		FITM2				Gene-disease association, 618635 (3), Autosomal recessive	
						FKBP10		FKBP10				Gene-disease association, 259450 (3), Autosomal recessive; Gene-disease association, 610968 (3), Autosomal recessive	
						FKBP14		FKBP14				Gene-disease association, 614557 (3), Autosomal recessive	
						FKBP5		FKBP5				Gene-disease association, 608516 (3), Unknown	
						FKBP6		FKBP6				Gene-disease association, 620103 (3), Autosomal recessive	
						FKRP		FKRP				Gene-disease association, 236670 (3), Autosomal recessive; Gene-disease association, 606612 (3), Autosomal recessive; Gene-disease association, 607155 (3), Autosomal recessive; Gene-disease association, 613153 (3), Autosomal recessive	
						FKTN		FKTN				Gene-disease association, 236670 (3), Autosomal recessive; Gene-disease association, 253800 (3), Autosomal recessive; Gene-disease association, 611588 (3), Autosomal recessive; Gene-disease association, 611615 (3), Autosomal recessive; Gene-disease association, 613152 (3), Autosomal recessive	
						FLAD1		FLAD1				Gene-disease association, 255100 (3), Autosomal recessive	
						FLCN		FLCN				Gene-disease association, 114500 (3), Autosomal dominant; Gene-disease association, 135150 (3), Autosomal dominant; Gene-disease association, 144700 (3), Unknown; Gene-disease association, 173600 (3), Autosomal dominant; Gene-disease association, 610883 (3), Unknown	
						FLG		FLG				Gene-disease association, 146700 (3), Autosomal recessive; Gene-disease association, 605803 (3), Autosomal dominant	
						FLG2		FLG2				Gene-disease association, 618084 (3), Autosomal recessive	
						FLI1		FLI1				Gene-disease association, 617443 (3), Autosomal recessive	
						FLII		FLII				Gene-disease association, 620635 (3), Autosomal recessive	
						FLNA		FLNA				Gene-disease association, 300048 (3), Unknown; Gene-disease association, 300049 (3), Unknown; Gene-disease association, 300244 (3), Unknown; Gene-disease association, 300321 (3), Unknown; Gene-disease association, 304120 (3), Unknown; Gene-disease association, 305620 (3), Unknown; Gene-disease association, 309350 (3), Unknown; Gene-disease association, 311300 (3), Unknown; Gene-disease association, 314400 (3), Unknown	
						FLNB		FLNB				Gene-disease association, 108720 (3), Autosomal dominant; Gene-disease association, 108721 (3), Autosomal dominant; Gene-disease association, 112310 (3), Autosomal dominant; Gene-disease association, 150250 (3), Autosomal dominant; Gene-disease association, 272460 (3), Autosomal recessive	
						FLNC		FLNC				Gene-disease association, 609524 (3), Autosomal dominant; Gene-disease association, 614065 (3), Autosomal dominant; Gene-disease association, 617047 (3), Autosomal dominant	
						FLRT3		FLRT3				Gene-disease association, 146110 (3), Autosomal recessive; Gene-disease association, 615271 (3), Autosomal dominant	
						FLT3		FLT3				Gene-disease association, 601626 (3), Autosomal dominant; Gene-disease association, 613065 (3), Unknown	
						FLT3LG		FLT3LG				Gene-disease association, 620926 (3), Autosomal recessive	
						FLT4		FLT4				Gene-disease association, 153100 (3), Autosomal dominant; Gene-disease association, 602089 (3), Autosomal dominant; Gene-disease association, 618780 (3), Autosomal dominant	
						FLVCR1		FLVCR1				Gene-disease association, 609033 (3), Autosomal recessive; Gene-disease association, 621060 (3), Autosomal recessive	
						FLVCR2		FLVCR2				Gene-disease association, 225790 (3), Autosomal recessive	
						FMN2		FMN2				Gene-disease association, 616193 (3), Autosomal recessive	
						FMO3		FMO3				Gene-disease association, 602079 (3), Autosomal recessive	
						FMR1		FMR1				Gene-disease association, 300623 (3), Unknown; Gene-disease association, 300624 (3), Unknown; Gene-disease association, 311360 (3), Unknown	
						FN1		FN1				Gene-disease association, 184255 (3), Autosomal dominant; Gene-disease association, 601894 (3), Autosomal dominant	
						FNIP1		FNIP1				Gene-disease association, 619705 (3), Autosomal recessive	
						FOCAD		FOCAD				Gene-disease association, 619991 (3), Autosomal recessive	
						FOLR1		FOLR1				Gene-disease association, 613068 (3), Autosomal recessive	
						FOSL2		FOSL2				Gene-disease association, 620789 (3), Autosomal dominant	
						FOXC1		FOXC1				Gene-disease association, 601631 (3), Autosomal dominant; Gene-disease association, 602482 (3), Autosomal dominant	
						FOXC2		FOXC2				Gene-disease association, 153400 (3), Autosomal dominant	
						FOXD3		FOXD3				Gene-disease association, 607836 (3), Autosomal dominant	
						FOXE1		FOXE1				Gene-disease association, 241850 (3), Autosomal recessive; Gene-disease association, 616534 (3), Autosomal dominant	
						FOXE3		FOXE3				Gene-disease association, 610256 (3), Autosomal recessive; Gene-disease association, 612968 (3), Autosomal recessive; Gene-disease association, 617349 (3), Autosomal dominant	
						FOXF1		FOXF1				Gene-disease association, 265380 (3), Autosomal dominant	
						FOXG1		FOXG1				Gene-disease association, 613454 (3), Autosomal dominant	
						FOXI1		FOXI1				Gene-disease association, 274600 (3), Autosomal recessive; Gene-disease association, 600791 (3), Autosomal recessive	
						FOXI3		FOXI3				Gene-disease association, 620444 (3), Autosomal dominant	
						FOXJ1		FOXJ1				Gene-disease association, 618699 (3), Autosomal dominant	
						FOXL1		FOXL1				Gene-disease association, 620576 (3), Autosomal dominant	
						FOXL2		FOXL2				Gene-disease association, 110100 (3), Autosomal dominant; Gene-disease association, 608996 (3), Autosomal dominant	
						FOXN1		FOXN1				Gene-disease association, 242700 (3), Autosomal recessive; Gene-disease association, 601705 (3), Autosomal recessive; Gene-disease association, 618806 (3), Autosomal dominant	
						FOXO1		FOXO1				Gene-disease association, 268220 (3), Unknown	
						FOXP1		FOXP1				Gene-disease association, 613670 (3), Autosomal dominant	
						FOXP2		FOXP2				Gene-disease association, 602081 (3), Autosomal dominant	
						FOXP3		FOXP3				Gene-disease association, 304790 (3), Unknown	
						FOXRED1		FOXRED1				Gene-disease association, 618241 (3), Autosomal recessive	
						FRA10AC1		FRA10AC1				Gene-disease association, 620113 (3), Autosomal recessive	
						FRA16E		FRA16E				Gene-disease association, 136570 (3), Unknown	
						FRAS1		FRAS1				Gene-disease association, 219000 (3), Autosomal recessive	
						FREM1		FREM1				Gene-disease association, 248450 (3), Autosomal recessive; Gene-disease association, 608980 (3), Autosomal recessive; Gene-disease association, 614485 (3), Autosomal dominant	
						FREM2		FREM2				Gene-disease association, 123570 (3), Autosomal recessive; Gene-disease association, 617666 (3), Autosomal recessive	
						FRG1		FRG1				Gene-disease association, 158900 (3), Autosomal dominant	
						FRMD4A		FRMD4A				Gene-disease association, 616819 (3), Autosomal recessive	
						FRMD5		FRMD5				Gene-disease association, 620094 (3), Autosomal dominant	
						FRMD7		FRMD7				Gene-disease association, 310700 (3), Unknown	
						FRMPD4		FRMPD4				Gene-disease association, 300983 (3), Unknown	
						FRRS1L		FRRS1L				Gene-disease association, 616981 (3), Autosomal recessive	
						FRYL		FRYL				Gene-disease association, 621049 (3), Autosomal dominant	
						FRZB		FRZB				Gene-disease association, 165720 (3), Unknown	
						FSCN2		FSCN2				Gene-disease association, 607921 (3), Autosomal dominant	
						FSHB		FSHB				Gene-disease association, 229070 (3), Autosomal recessive	
						FSHR		FSHR				Gene-disease association, 233300 (3), Autosomal recessive; Gene-disease association, 608115 (3), Autosomal dominant	
						FSIP2		FSIP2				Gene-disease association, 618153 (3), Autosomal recessive	
						FTCD		FTCD				Gene-disease association, 229100 (3), Autosomal recessive	
						FTH1		FTH1				Gene-disease association, 615517 (3), Autosomal dominant; Gene-disease association, 620669 (3), Autosomal dominant	
						FTL		FTL				Gene-disease association, 600886 (3), Autosomal dominant; Gene-disease association, 606159 (3), Autosomal dominant; Gene-disease association, 615604 (3), Autosomal recessive	
						FTO		FTO				Gene-disease association, 612460 (3), Autosomal recessive; Gene-disease association, 612938 (3), Autosomal recessive	
						FTSJ1		FTSJ1				Gene-disease association, 309549 (3), Unknown	
						FUCA1		FUCA1				Gene-disease association, 230000 (3), Autosomal recessive	
						FUS		FUS				Gene-disease association, 608030 (3), Autosomal dominant; Gene-disease association, 614782 (3), Autosomal dominant	
						FUT1		FUT1				Gene-disease association, 616754 (3), Autosomal recessive	
						FUT2		FUT2				Gene-disease association, 616754 (3), Autosomal recessive	
						FUT8		FUT8				Gene-disease association, 618005 (3), Autosomal recessive	
						FUZ		FUZ				Gene-disease association, 182940 (3), Autosomal dominant	
						FXN		FXN				Gene-disease association, 229300 (3), Autosomal recessive; Gene-disease association, 601992 (3), Autosomal recessive	
						FXR1		FXR1				Gene-disease association, 618822 (3), Autosomal recessive; Gene-disease association, 618823 (3), Autosomal recessive	
						FXYD2		FXYD2				Gene-disease association, 154020 (3), Autosomal dominant	
						FYB1		FYB1				Gene-disease association, 273900 (3), Autosomal recessive	
						FYCO1		FYCO1				Gene-disease association, 610019 (3), Autosomal recessive	
						FZD2		FZD2				Gene-disease association, 164745 (3), Autosomal dominant	
						FZD4		FZD4				Gene-disease association, 133780 (3), Autosomal dominant	
						FZD5		FZD5				Gene-disease association, 620731 (3), Autosomal dominant	
						FZD6		FZD6				Gene-disease association, 161050 (3), Autosomal recessive	
						FZR1		FZR1				Gene-disease association, 620145 (3), Autosomal dominant	
						G6PC1		G6PC1				Gene-disease association, 232200 (3), Autosomal recessive	
						G6PC3		G6PC3				Gene-disease association, 612541 (3), Autosomal recessive	
						G6PD		G6PD				Gene-disease association, 300908 (3), Unknown	
						GAA		GAA				Gene-disease association, 232300 (3), Autosomal recessive; Gene-disease association, 621314 (3), Autosomal recessive	
						GAB1		GAB1				Gene-disease association, 605428 (3), Autosomal recessive	
						GABBR1		GABBR1				Gene-disease association, 620502 (3), Autosomal recessive	
						GABBR2		GABBR2				Gene-disease association, 617903 (3), Autosomal dominant; Gene-disease association, 617904 (3), Autosomal dominant	
						GABRA1		GABRA1				Gene-disease association, 615744 (3), Autosomal dominant	
						GABRA2		GABRA2				Gene-disease association, 103780 (3), Unknown; Gene-disease association, 618557 (3), Autosomal dominant	
						GABRA3		GABRA3				Gene-disease association, 301091 (3), Unknown	
						GABRA5		GABRA5				Gene-disease association, 618559 (3), Autosomal dominant	
						GABRB1		GABRB1				Gene-disease association, 617153 (3), Autosomal dominant	
						GABRB2		GABRB2				Gene-disease association, 617829 (3), Autosomal dominant	
						GABRB3		GABRB3				Gene-disease association, 612269 (3), Autosomal dominant; Gene-disease association, 617113 (3), Autosomal dominant	
						GABRD		GABRD				Gene-disease association, 613060 (3), Autosomal dominant	
						GABRG2		GABRG2				Gene-disease association, 607681 (3), Autosomal dominant; Gene-disease association, 618396 (3), Autosomal dominant	
						GAD1		GAD1				Gene-disease association, 619124 (3), Autosomal recessive	
						GAL		GAL				Gene-disease association, 616461 (3), Autosomal dominant	
						GALC		GALC				Gene-disease association, 245200 (3), Autosomal recessive	
						GALE		GALE				Gene-disease association, 230350 (3), Autosomal recessive; Gene-disease association, 620776 (3), Autosomal recessive	
						GALK1		GALK1				Gene-disease association, 230200 (3), Autosomal recessive	
						GALM		GALM				Gene-disease association, 618881 (3), Autosomal recessive	
						GALNS		GALNS				Gene-disease association, 253000 (3), Autosomal recessive	
						GALNT2		GALNT2				Gene-disease association, 618885 (3), Autosomal recessive	
						GALNT3		GALNT3				Gene-disease association, 211900 (3), Autosomal recessive	
						GALT		GALT				Gene-disease association, 230400 (3), Autosomal recessive	
						GAMT		GAMT				Gene-disease association, 612736 (3), Autosomal recessive	
						GAN		GAN				Gene-disease association, 256850 (3), Autosomal recessive	
						GANAB		GANAB				Gene-disease association, 600666 (3), Autosomal dominant	
						GARS1		GARS1				Gene-disease association, 600794 (3), Autosomal dominant; Gene-disease association, 601472 (3), Autosomal dominant; Gene-disease association, 619042 (3), Autosomal dominant	
						GAS2		GAS2				Gene-disease association, 620877 (3), Autosomal recessive	
						GAS2L2		GAS2L2				Gene-disease association, 618449 (3), Autosomal recessive	
						GATA1		GATA1				Gene-disease association, 159595 (3), Unknown; Gene-disease association, 300367 (3), Unknown; Gene-disease association, 300835 (3), Unknown; Gene-disease association, 301083 (3), Unknown; Gene-disease association, 314050 (3), Unknown	
						GATA2		GATA2				Gene-disease association, 601626 (3), Autosomal dominant; Gene-disease association, 614038 (3), Autosomal dominant; Gene-disease association, 614172 (3), Autosomal dominant; Gene-disease association, 614286 (3), Unknown	
						GATA3		GATA3				Gene-disease association, 146255 (3), Autosomal dominant	
						GATA4		GATA4				Gene-disease association, 187500 (3), Autosomal dominant; Gene-disease association, 607941 (3), Autosomal dominant; Gene-disease association, 614429 (3), Autosomal dominant; Gene-disease association, 614430 (3), Autosomal dominant; Gene-disease association, 615542 (3), Autosomal dominant	
						GATA5		GATA5				Gene-disease association, 617912 (3), Autosomal recessive	
						GATA6		GATA6				Gene-disease association, 187500 (3), Autosomal dominant; Gene-disease association, 217095 (3), Autosomal recessive; Gene-disease association, 600001 (3), Autosomal dominant; Gene-disease association, 614474 (3), Autosomal dominant; Gene-disease association, 614475 (3), Autosomal dominant	
						GATAD1		GATAD1				Gene-disease association, 614672 (3), Autosomal recessive	
						GATAD2B		GATAD2B				Gene-disease association, 615074 (3), Autosomal dominant	
						GATB		GATB				Gene-disease association, 618838 (3), Autosomal recessive	
						GATC		GATC				Gene-disease association, 618839 (3), Autosomal recessive	
						GATM		GATM				Gene-disease association, 134600 (3), Autosomal dominant; Gene-disease association, 612718 (3), Autosomal recessive	
						GBA1		GBA1				Gene-disease association, 127750 (3), Autosomal dominant; Gene-disease association, 168600 (3), Autosomal dominant; Gene-disease association, 230800 (3), Autosomal recessive; Gene-disease association, 230900 (3), Autosomal recessive; Gene-disease association, 231000 (3), Autosomal recessive; Gene-disease association, 231005 (3), Autosomal recessive; Gene-disease association, 608013 (3), Autosomal recessive	
						GBA2		GBA2				Gene-disease association, 614409 (3), Autosomal recessive	
						GBE1		GBE1				Gene-disease association, 232500 (3), Autosomal recessive; Gene-disease association, 263570 (3), Autosomal recessive	
						GBF1		GBF1				Gene-disease association, 606483 (3), Autosomal dominant	
						GCDH		GCDH				Gene-disease association, 231670 (3), Autosomal recessive	
						GCGR		GCGR				Gene-disease association, 619290 (3), Autosomal recessive	
						GCH1		GCH1				Gene-disease association, 128230 (3), Autosomal recessive; Gene-disease association, 233910 (3), Autosomal recessive	
						GCK		GCK				Gene-disease association, 125851 (3), Autosomal dominant; Gene-disease association, 125853 (3), Autosomal dominant; Gene-disease association, 602485 (3), Autosomal dominant; Gene-disease association, 606176 (3), Autosomal recessive	
						GCLC		GCLC				Gene-disease association, 230450 (3), Autosomal recessive	
						GCM2		GCM2				Gene-disease association, 617343 (3), Autosomal dominant; Gene-disease association, 618883 (3), Autosomal recessive	
						GCNA		GCNA				Gene-disease association, 301077 (3), Unknown	
						GCNT2		GCNT2				Gene-disease association, 116700 (3), Autosomal recessive	
						GCSH		GCSH				Gene-disease association, 620423 (3), Autosomal recessive	
						GDAP1		GDAP1				Gene-disease association, 214400 (3), Autosomal recessive; Gene-disease association, 607706 (3), Autosomal recessive; Gene-disease association, 607831 (3), Autosomal recessive; Gene-disease association, 608340 (3), Autosomal recessive	
						GDAP2		GDAP2				Gene-disease association, 618369 (3), Autosomal recessive	
						GDF1		GDF1				Gene-disease association, 208530 (3), Autosomal recessive; Gene-disease association, 613854 (3), Autosomal dominant	
						GDF11		GDF11				Gene-disease association, 619122 (3), Autosomal dominant	
						GDF15		GDF15				Gene-disease association, 620730 (3), Autosomal dominant	
						GDF2		GDF2				Gene-disease association, 615506 (3), Autosomal dominant	
						GDF3		GDF3				Gene-disease association, 613702 (3), Autosomal dominant; Gene-disease association, 613703 (3), Autosomal dominant; Gene-disease association, 613704 (3), Autosomal dominant	
						GDF5		GDF5				Gene-disease association, 112600 (3), Autosomal dominant; Gene-disease association, 113100 (3), Autosomal dominant; Gene-disease association, 200700 (3), Autosomal recessive; Gene-disease association, 201250 (3), Autosomal recessive; Gene-disease association, 228900 (3), Autosomal recessive; Gene-disease association, 610017 (3), Autosomal dominant; Gene-disease association, 615072 (3), Autosomal recessive; Gene-disease association, 615298 (3), Autosomal dominant	
						GDF6		GDF6				Gene-disease association, 118100 (3), Autosomal dominant; Gene-disease association, 613094 (3), Autosomal dominant; Gene-disease association, 613703 (3), Autosomal dominant; Gene-disease association, 615360 (3), Autosomal recessive; Gene-disease association, 617898 (3), Autosomal dominant	
						GDF9		GDF9				Gene-disease association, 618014 (3), Autosomal recessive	
						GDI1		GDI1				Gene-disease association, 300849 (3), Unknown	
						GDNF		GDNF				Gene-disease association, 613711 (3), Autosomal dominant	
