# OMIM genemap2 (reconstructed from HPO annotations) — 2026-03-26
# Chromosome	Genomic Position Start	Genomic Position End	Cyto Location	Computed Cyto Location	MIM Number	Gene Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotypes	Mouse Gene Symbol/ID
						ACP5		ACP5				Gene-disease association, 607944 (3), Autosomal recessive	
						ACR		ACR				Gene-disease association, 620500 (3), Autosomal recessive	
						ACSF3		ACSF3				Gene-disease association, 614265 (3), Autosomal recessive	
						ACSL4		ACSL4				Gene-disease association, 300387 (3), Unknown	
						ACSL5		ACSL5				Gene-disease association, 620357 (3), Autosomal recessive	
						ACTA1		ACTA1				Gene-disease association, 161800 (3), Autosomal recessive; Gene-disease association, 616852 (3), Autosomal dominant; Gene-disease association, 620265 (3), Autosomal recessive; Gene-disease association, 620278 (3), Autosomal dominant	
						ACTA2		ACTA2				Gene-disease association, 611788 (3), Autosomal dominant; Gene-disease association, 613834 (3), Autosomal dominant; Gene-disease association, 614042 (3), Autosomal dominant	
						ACTB		ACTB				Gene-disease association, 243310 (3), Autosomal dominant; Gene-disease association, 604919 (3), Unknown; Gene-disease association, 607371 (3), Autosomal dominant; Gene-disease association, 620470 (3), Unknown; Gene-disease association, 620475 (3), Autosomal dominant	
						ACTC1		ACTC1				Gene-disease association, 612098 (3), Autosomal dominant; Gene-disease association, 612794 (3), Autosomal dominant; Gene-disease association, 613424 (3), Autosomal dominant	
						ACTG1		ACTG1				Gene-disease association, 604717 (3), Autosomal dominant; Gene-disease association, 614583 (3), Autosomal dominant	
						ACTG2		ACTG2				Gene-disease association, 155310 (3), Autosomal dominant; Gene-disease association, 619431 (3), Autosomal dominant	
						ACTL6B		ACTL6B				Gene-disease association, 618468 (3), Autosomal recessive; Gene-disease association, 618470 (3), Autosomal dominant	
						ACTL7A		ACTL7A				Gene-disease association, 620499 (3), Autosomal recessive	
						ACTL9		ACTL9				Gene-disease association, 619258 (3), Autosomal recessive	
						ACTN1		ACTN1				Gene-disease association, 615193 (3), Autosomal dominant	
						ACTN2		ACTN2				Gene-disease association, 612158 (3), Autosomal dominant; Gene-disease association, 618654 (3), Autosomal dominant; Gene-disease association, 618655 (3), Autosomal dominant	
						ACTN4		ACTN4				Gene-disease association, 603278 (3), Autosomal dominant	
						ACVR1		ACVR1				Gene-disease association, 135100 (3), Autosomal dominant	
						ACVR1B		ACVR1B				Gene-disease association, 260350 (3), Autosomal dominant	
						ACVR2B		ACVR2B				Gene-disease association, 613751 (3), Autosomal dominant	
						ACVRL1		ACVRL1				Gene-disease association, 600376 (3), Autosomal dominant	
						ACY1		ACY1				Gene-disease association, 609924 (3), Autosomal recessive	
						ADA		ADA				Gene-disease association, 102700 (3), Autosomal recessive	
						ADA2		ADA2				Gene-disease association, 182410 (3), Autosomal recessive; Gene-disease association, 615688 (3), Autosomal recessive	
						ADAM10		ADAM10				Gene-disease association, 615537 (3), Autosomal dominant	
						ADAM17		ADAM17				Gene-disease association, 614328 (3), Autosomal recessive	
						ADAM22		ADAM22				Gene-disease association, 617933 (3), Autosomal recessive	
						ADAM9		ADAM9				Gene-disease association, 612775 (3), Autosomal recessive	
						ADAMTS10		ADAMTS10				Gene-disease association, 277600 (3), Autosomal recessive	
						ADAMTS13		ADAMTS13				Gene-disease association, 274150 (3), Autosomal recessive	
						ADAMTS15		ADAMTS15				Gene-disease association, 620545 (3), Autosomal recessive	
						ADAMTS17		ADAMTS17				Gene-disease association, 613195 (3), Autosomal recessive	
						ADAMTS18		ADAMTS18				Gene-disease association, 615458 (3), Autosomal recessive	
						ADAMTS19		ADAMTS19				Gene-disease association, 620067 (3), Autosomal recessive	
						ADAMTS2		ADAMTS2				Gene-disease association, 225410 (3), Autosomal recessive	
						ADAMTS3		ADAMTS3				Gene-disease association, 618154 (3), Autosomal recessive	
						ADAMTSL2		ADAMTSL2				Gene-disease association, 231050 (3), Autosomal recessive	
						ADAMTSL4		ADAMTSL4				Gene-disease association, 225100 (3), Autosomal recessive; Gene-disease association, 225200 (3), Autosomal recessive	
						ADAR		ADAR				Gene-disease association, 127400 (3), Autosomal dominant; Gene-disease association, 615010 (3), Autosomal recessive	
						ADARB1		ADARB1				Gene-disease association, 618862 (3), Autosomal recessive	
						ADAT3		ADAT3				Gene-disease association, 615286 (3), Autosomal recessive	
						ADCY1		ADCY1				Gene-disease association, 610154 (3), Autosomal recessive	
						ADCY10		ADCY10				Gene-disease association, 143870 (3), Autosomal dominant	
						ADCY3		ADCY3				Gene-disease association, 617885 (3), Autosomal recessive	
						ADCY5		ADCY5				Gene-disease association, 606703 (3), Autosomal dominant; Gene-disease association, 619647 (3), Autosomal recessive; Gene-disease association, 619651 (3), Autosomal recessive	
						ADCY6		ADCY6				Gene-disease association, 616287 (3), Autosomal recessive	
						ADD1		ADD1				Gene-disease association, 145500 (3), Unknown	
						ADD3		ADD3				Gene-disease association, 617008 (3), Autosomal recessive	
						ADGRE2		ADGRE2				Gene-disease association, 125630 (3), Autosomal dominant	
						ADGRG1		ADGRG1				Gene-disease association, 606854 (3), Autosomal recessive; Gene-disease association, 615752 (3), Autosomal recessive	
						ADGRG2		ADGRG2				Gene-disease association, 300985 (3), Unknown	
						ADGRG6		ADGRG6				Gene-disease association, 616503 (3), Autosomal recessive	
						ADGRL1		ADGRL1				Gene-disease association, 620065 (3), Autosomal dominant	
						ADGRV1		ADGRV1				Gene-disease association, 604352 (3), Autosomal dominant; Gene-disease association, 605472 (3), Autosomal recessive	
						ADH1B		ADH1B				Gene-disease association, 103780 (3), Unknown	
						ADH1C		ADH1C				Gene-disease association, 103780 (3), Unknown; Gene-disease association, 168600 (3), Autosomal dominant	
						ADH5		ADH5				Gene-disease association, 619151 (3), Unknown	
						ADIPOQ		ADIPOQ				Gene-disease association, 612556 (3), Autosomal dominant	
						ADK		ADK				Gene-disease association, 614300 (3), Autosomal recessive	
						ADNP		ADNP				Gene-disease association, 615873 (3), Autosomal dominant	
						ADPRS		ADPRS				Gene-disease association, 618170 (3), Autosomal recessive	
						ADRA2A		ADRA2A				Gene-disease association, 620679 (3), Autosomal dominant	
						ADRB1		ADRB1				Gene-disease association, 618591 (3), Autosomal dominant	
						ADRB3		ADRB3				Gene-disease association, 601665 (3), Autosomal recessive	
						ADSL		ADSL				Gene-disease association, 103050 (3), Autosomal recessive	
						ADSS1		ADSS1				Gene-disease association, 617030 (3), Autosomal recessive	
						AEBP1		AEBP1				Gene-disease association, 618000 (3), Autosomal recessive	
						AFF2		AFF2				Gene-disease association, 309548 (3), Unknown	
						AFF3		AFF3				Gene-disease association, 619297 (3), Autosomal dominant	
						AFF4		AFF4				Gene-disease association, 616368 (3), Autosomal dominant	
						AFG2A		AFG2A				Gene-disease association, 616577 (3), Autosomal recessive	
						AFG2B		AFG2B				Gene-disease association, 619615 (3), Autosomal recessive; Gene-disease association, 619616 (3), Autosomal recessive	
						AFG3L2		AFG3L2				Gene-disease association, 610246 (3), Autosomal dominant; Gene-disease association, 614487 (3), Autosomal recessive; Gene-disease association, 618977 (3), Autosomal dominant	
						AFP		AFP				Gene-disease association, 615969 (3), Autosomal recessive; Gene-disease association, 615970 (3), Autosomal dominant	
						AGA		AGA				Gene-disease association, 208400 (3), Autosomal recessive	
						AGBL1		AGBL1				Gene-disease association, 615523 (3), Autosomal dominant	
						AGBL5		AGBL5				Gene-disease association, 617023 (3), Autosomal recessive	
						AGK		AGK				Gene-disease association, 212350 (3), Autosomal recessive; Gene-disease association, 614691 (3), Autosomal recessive	
						AGL		AGL				Gene-disease association, 232400 (3), Autosomal recessive	
						AGO1		AGO1				Gene-disease association, 620292 (3), Autosomal dominant	
						AGO2		AGO2				Gene-disease association, 619149 (3), Autosomal dominant	
						AGPAT2		AGPAT2				Gene-disease association, 608594 (3), Autosomal recessive	
						AGPS		AGPS				Gene-disease association, 600121 (3), Autosomal recessive	
						AGR2		AGR2				Gene-disease association, 620233 (3), Autosomal recessive	
						AGRN		AGRN				Gene-disease association, 615120 (3), Autosomal recessive	
						AGRP		AGRP				Gene-disease association, 601665 (3), Autosomal recessive	
						AGT		AGT				Gene-disease association, 267430 (3), Autosomal recessive	
						AGTPBP1		AGTPBP1				Gene-disease association, 618276 (3), Autosomal recessive	
						AGTR1		AGTR1				Gene-disease association, 145500 (3), Unknown; Gene-disease association, 267430 (3), Autosomal recessive	
						AGXT		AGXT				Gene-disease association, 259900 (3), Autosomal recessive	
						AGXT2		AGXT2				Gene-disease association, 210100 (3), Autosomal recessive	
						AHCY		AHCY				Gene-disease association, 613752 (3), Autosomal recessive	
						AHDC1		AHDC1				Gene-disease association, 615829 (3), Autosomal dominant	
						AHI1		AHI1				Gene-disease association, 608629 (3), Autosomal recessive	
						AHR		AHR				Gene-disease association, 618345 (3), Autosomal recessive; Gene-disease association, 620958 (3), Autosomal recessive	
						AHSG		AHSG				Gene-disease association, 203650 (3), Autosomal recessive	
						AICDA		AICDA				Gene-disease association, 605258 (3), Autosomal recessive	
						AIFM1		AIFM1				Gene-disease association, 300232 (3), Unknown; Gene-disease association, 300614 (3), Unknown; Gene-disease association, 300816 (3), Unknown; Gene-disease association, 310490 (3), Unknown	
						AIMP1		AIMP1				Gene-disease association, 260600 (3), Autosomal recessive	
						AIMP2		AIMP2				Gene-disease association, 618006 (3), Autosomal recessive	
						AIP		AIP				Gene-disease association, 102200 (3), Autosomal dominant; Gene-disease association, 219090 (3), Autosomal recessive	
						AIPL1		AIPL1				Gene-disease association, 268000 (3), Autosomal recessive; Gene-disease association, 604393 (3), Autosomal recessive	
						AIRE		AIRE				Gene-disease association, 240300 (3), Autosomal recessive	
						AK1		AK1				Gene-disease association, 612631 (3), Autosomal recessive	
						AK2		AK2				Gene-disease association, 267500 (3), Autosomal recessive	
